 Mortalidade - Brasil
Óbitos p/Residênc por Município e Faixa Etária
Categoria CID-10: V01   Pedestre traum colis veic a pedal, V02   Pedestre traum colis veic motor 2 3 rodas, V03   Pedestre traum colis automov pickup caminhon, V04   Pedestre traum colis veic transp pesado onib, V05   Pedestre traum colis trem veic ferroviario, V06   Pedestre traum colis outr veic nao-motoriz, V09   Pedestre traum outr acid transp e NE, V10   Ciclista traum colis pedestre animal, V11   Ciclista traum colis outr veic a pedal, V12   Ciclista traum colis veic motor 2 3 rodas, V13   Ciclista traum colis automov pickup caminhon, V14   Ciclis traum colis veic transp pesado onibus, V15   Ciclista traum colis trem veic ferroviario, V16   Ciclista traum colis outr veic nao-motoriz, V17   Ciclista traum colis objeto fixo ou parado, V18   Ciclista traum acid transp s/colis, V19   Ciclista traum acid transp e NE, V20   Motociclista traum colis pedestre animal, V21   Motociclista traum colis veic pedal, V22   Motocicl traum colis veic motor 2 3 rodas, V23   Motocicl traum colis automov pickup caminhon, V24   Motocicl traum colis veic transp pesado onib, V25   Motociclista traum colis trem veic ferrov, V26   Motocicl traum colis outr veic nao-motoriz, V27   Motocicl traum colis objeto fixo parado, V28   Motociclista traum acid transp s/colis, V29   Motociclista traum outr acid transp e NE, V30   Ocup tricicl mot traum colis pedestre animal, V31   Ocup tricicl motoriz traum colis veic pedal, V32   Ocup tric mot traum col out veic mot 2 3 rod, V33   Ocup tric mot traum col auto pickup caminhon, V34   Ocup tric mot traum col veic transp pes onib, V35   Ocup tricic mot traum colis trem veic ferrov, V36   Ocup tric mot traum colis outr veic n-motor, V37   Ocup tricic mot traum colis obj fixo parado, V38   Ocup tricic motor traum acid transp s/colis, V39   Ocup tricicl mot traum outr acid transp e NE, V40   Ocup automovel traum colis pedestre animal, V41   Ocup automovel traum colis veic a pedal, V42   Ocup autotraum colis outr veic mot 2 3 rodas, V43   Ocup automov traum col auto pickup caminhon, V44   Ocup autom traum colis veic trans pesad onib, V45   Ocup automovel traum colis trem veic ferrov, V46   Ocup automov traum colis outr veic n-motor, V47   Ocup automovel traum colis obj fixo parado, V48   Ocup automovel traum acid transp s/colis, V49   Ocup automovel traum outr acid transp e NE, V50   Ocup caminhonete traum colis pedestre animal, V51   Ocup caminhonete traum colis veic pedal, V52   Ocup caminhon traum colis veic mot 2 3 rodas, V53   Ocup caminhon traum colis automov caminhon, V54   Ocup caminhon traum col veic transp pes onib, V55   Ocup caminhon traum colis trem veic ferrov, V56   Ocup caminhonete traum colis outr veic n-mot, V57   Ocup caminhonete traum colis obj fixo parado, V58   Ocup caminhonete traum acid transp s/colis, V59   Ocup caminhonete traum outr acid transp NE, V60   Ocup veic transp pesado traum colis ped anim, V61   Ocup veic transp pesado traum col veic pedal, V62   Ocup v transp pes traum col veic mot 2 3 rod, V63   Ocup veic tr pesado traum col auto caminhon, V64   Ocup v tr pes tr col outr veic tr pes onib, V65   Ocup veic tr pes traum col trem veic ferrov, V66   Ocup veic tr pesado traum col out veic n-mot, V67   Ocup veic tr pesado traum col obj fixo parad, V68   Ocup veic tr pesado traum ac transp s/colis, V69   Ocup veic tr pesado traum outr ac transp NE, V70   Ocup onibus traum colis pedestre animal, V71   Ocup onibus traum colis veic a pedal, V72   Ocup onibus traum col out veic mot 2 3 rodas, V73   Ocup onibus traum colis automovel caminhonet, V74   Ocup onibus traum colis veic transp pes onib, V75   Ocup onibus traum colis trem veic ferrov, V76   Ocup onibus traum colis outr veic n-motor, V77   Ocup onibus traum colis objeto fixo parado, V78   Ocup onibus traum acid transp s/colis, V79   Ocup onibus traum outr acid transp e NE, V80   Pess mont anim oc veic anim traum ac transp, V81   Ocup trem veic ferroviario traum acid transp, V82   Ocup de um bonde traum acid transp, V83   Ocup veic esp mot area ind traum ac transp, V84   Ocup veic esp mot uso agric traum acid trans, V85   Ocup veic mot esp constr traum acid transp, V86   Ocup veic outr uso n-via pub traum ac transp, V87   Acid trans tipo espec desconh mod transp vit, V88   Ac n-trans tipo espec desconh mod transp vit, V89   Acid veic mot n-mot tipos de veic NE, V90   Acid embarcacao caus afogamento submersao, V91   Acid embarcacao causando outr tipo de traum, V92   Afog submers rel transp agua s/acid embarc, V93   Acid bord emb s/ac bem n caus afog submers, V94   Outr acid transp p/agua e os NE, V95   Acid de aeronave mot causando traum ao ocup, V96   Acid aeronave s/motor causando traum a ocup, V97   Outr acid espec de transporte aereo, V98   Outr acid transp espec, V99   Acid transp NE
Período:2019
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"240170 Bom Jesus";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"240185 Caiçara do Norte";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"240190 Caiçara do Rio do Vento";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"240200 Caicó";-;-;-;-;1;2;-;-;-;-;-;-;-;3
"240210 Campo Redondo";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"240230 Caraúbas";-;-;-;-;-;1;2;1;1;-;-;1;-;6
"240250 Carnaubais";-;-;-;-;-;1;1;-;1;-;-;-;-;3
"240260 Ceará-Mirim";-;-;-;-;1;7;1;3;-;-;-;-;-;12
"240270 Cerro Corá";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"240280 Coronel Ezequiel";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"240290 Coronel João Pessoa";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"240300 Cruzeta";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"240310 Currais Novos";-;-;-;-;1;1;1;1;-;-;-;-;-;4
"240320 Doutor Severiano";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"240330 Encanto";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"240340 Equador";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"240350 Espírito Santo";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"240360 Extremoz";-;-;-;-;-;3;1;-;3;-;-;-;-;7
"240380 Florânia";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240390 Francisco Dantas";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"240400 Frutuoso Gomes";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"240410 Galinhos";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"240420 Goianinha";-;-;-;-;-;-;-;2;1;-;1;-;-;4
"240430 Governador Dix-Sept Rosado";-;-;-;-;-;1;-;2;-;-;1;-;-;4
"240450 Guamaré";-;-;-;-;-;-;3;1;-;-;-;-;-;4
"240460 Ielmo Marinho";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"240470 Ipanguaçu";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"240490 Itaú";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"240500 Jaçanã";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"240510 Jandaíra";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"240520 Janduís";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"240530 Januário Cicco";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"240560 Jardim de Piranhas";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240570 Jardim do Seridó";-;-;-;-;-;-;1;1;1;-;-;-;-;3
"240580 João Câmara";-;-;-;-;-;2;1;4;1;1;-;-;-;9
"240590 João Dias";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"240600 José da Penha";-;-;-;-;2;-;-;2;1;1;-;-;-;6
"240610 Jucurutu";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"240615 Jundiá";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"240620 Lagoa d'Anta";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"240650 Lagoa Nova";-;-;-;-;1;1;-;1;2;-;-;-;-;5
"240660 Lagoa Salgada";-;-;-;-;-;3;-;3;-;-;-;-;-;6
"240680 Lajes Pintadas";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"240700 Luís Gomes";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240710 Macaíba";-;-;1;-;-;3;1;1;3;-;-;1;-;10
"240720 Macau";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"240740 Martins";-;-;-;-;-;1;-;1;1;-;-;-;-;3
"240760 Messias Targino";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"240770 Montanhas";-;-;-;-;-;3;1;-;-;-;-;-;-;4
"240780 Monte Alegre";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"240790 Monte das Gameleiras";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"240800 Mossoró";-;1;-;1;2;4;4;6;11;2;4;3;-;38
"240810 Natal";-;-;-;1;2;17;16;14;14;8;2;2;-;76
"240820 Nísia Floresta";-;-;-;-;-;-;-;2;1;1;-;-;-;4
"240830 Nova Cruz";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"240870 Paraú";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"240880 Parazinho";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"240890 Parelhas";-;-;-;-;-;1;1;1;-;1;-;-;-;4
"240325 Parnamirim";-;-;-;-;1;6;5;7;2;1;-;1;-;23
"240910 Passa e Fica";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"240920 Passagem";-;-;-;-;-;2;1;1;-;-;-;-;-;4
"240930 Patu";-;-;-;-;2;-;-;-;2;-;-;-;-;4
"240940 Pau dos Ferros";-;-;-;-;2;1;2;2;1;-;1;-;-;9
"240950 Pedra Grande";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"240960 Pedra Preta";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"240970 Pedro Avelino";-;-;-;1;-;-;-;1;1;-;-;-;-;3
"241010 Poço Branco";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"241020 Portalegre";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"241025 Porto do Mangue";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"241040 Pureza";-;-;-;-;1;1;-;-;1;-;-;-;-;3
"241050 Rafael Fernandes";-;-;-;-;-;-;-;1;1;-;1;-;-;3
"241100 Rodolfo Fernandes";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"241120 Santa Cruz";-;-;-;-;-;2;3;1;3;1;-;-;-;10
"241140 Santana do Matos";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"241150 Santo Antônio";-;-;-;-;-;2;2;2;1;-;-;-;-;7
"241180 São Fernando";-;-;-;-;-;2;-;-;-;1;-;-;-;3
"241190 São Francisco do Oeste";-;-;-;-;-;-;2;-;1;-;-;-;-;3
"241200 São Gonçalo do Amarante";-;-;-;-;-;1;3;1;1;-;-;-;-;6
"241210 São João do Sabugi";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"241220 São José de Mipibu";-;-;-;-;1;-;4;2;-;1;-;-;-;8
"241230 São José do Campestre";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"241250 São Miguel";-;-;-;-;-;4;-;1;-;-;-;-;-;5
"241255 São Miguel do Gostoso";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"241260 São Paulo do Potengi";-;-;-;-;-;2;-;2;-;-;-;-;-;4
"241280 São Rafael";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"241290 São Tomé";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"241320 Senador Georgino Avelino";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"241030 Serra Caiada";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"241330 Serra de São Bento";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"241335 Serra do Mel";-;-;-;-;-;1;1;-;-;1;-;-;-;3
"241340 Serra Negra do Norte";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"241350 Serrinha";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"241355 Serrinha dos Pintos";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"241360 Severiano Melo";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"241390 Taipu";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"241400 Tangará";-;-;-;-;-;-;1;-;3;-;-;-;-;4
"241410 Tenente Ananias";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"241415 Tenente Laurentino Cruz";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"241105 Tibau";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"241420 Tibau do Sul";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"241440 Touros";-;-;-;-;-;1;1;1;1;1;-;-;-;5
"241450 Umarizal";-;-;-;-;1;1;1;2;-;-;-;-;-;5
"241460 Upanema";-;-;-;-;1;1;-;-;-;-;1;-;-;3
"241480 Vera Cruz";-;-;-;-;-;1;2;1;-;-;-;-;-;4
"241500 Vila Flor";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"250030 Alagoa Grande";-;-;-;-;-;1;2;-;-;2;-;-;-;5
"250040 Alagoa Nova";-;-;-;-;2;2;1;1;-;2;-;-;-;8
"250050 Alagoinha";-;-;-;-;-;1;2;-;-;-;-;-;-;3
"250060 Alhandra";-;-;-;-;-;-;2;2;-;-;-;-;-;4
"250073 Amparo";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"250077 Aparecida";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"250080 Araçagi";-;-;-;-;-;3;2;2;-;-;1;-;-;8
"250090 Arara";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"250100 Araruna";-;-;-;-;-;1;3;1;1;1;-;-;-;7
"250110 Areia";-;-;1;1;-;1;2;1;-;-;-;-;-;6
"250120 Areial";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"250130 Aroeiras";-;-;1;-;1;1;-;1;-;1;-;-;-;5
"250135 Assunção";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"250140 Baía da Traição";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"250150 Bananeiras";-;-;-;1;2;1;1;2;-;1;-;-;-;8
"250160 Barra de Santa Rosa";-;-;-;-;1;-;-;-;-;-;-;1;-;2
"250157 Barra de Santana";-;-;-;-;-;3;1;-;1;-;-;-;-;5
"250170 Barra de São Miguel";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"250180 Bayeux";-;-;-;-;1;3;5;5;2;5;1;-;-;22
"250190 Belém";-;-;-;-;-;2;-;-;1;-;-;-;-;3
"250200 Belém do Brejo do Cruz";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"250210 Boa Ventura";-;-;-;-;-;-;1;-;-;1;-;1;-;3
"250215 Boa Vista";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"250240 Bonito de Santa Fé";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"250250 Boqueirão";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"250280 Brejo do Cruz";-;-;-;-;-;-;-;-;1;-;2;-;-;3
"250300 Caaporã";-;-;-;-;1;1;-;-;2;-;-;-;-;4
"250310 Cabaceiras";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"250320 Cabedelo";-;-;-;-;2;-;4;2;1;-;-;1;-;10
"250330 Cachoeira dos Índios";-;-;-;-;-;1;-;3;-;-;-;-;-;4
"250350 Cacimba de Dentro";-;-;-;-;-;-;1;1;2;-;1;-;-;5
"250360 Caiçara";-;1;-;-;-;1;2;2;-;2;-;-;-;8
"250370 Cajazeiras";-;-;-;-;-;1;6;2;-;2;-;1;-;12
"250380 Caldas Brandão";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"250390 Camalaú";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"250400 Campina Grande";-;1;1;1;1;14;16;6;9;3;5;3;-;60
"250403 Capim";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"250407 Caraúbas";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"250430 Catolé do Rocha";-;-;-;-;-;2;2;1;1;1;-;1;-;8
"250435 Caturité";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"250440 Conceição";-;-;-;-;1;-;-;2;1;-;-;-;-;4
"250450 Condado";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"250460 Conde";-;-;1;-;-;3;1;1;2;-;-;-;-;8
"250470 Congo";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"250480 Coremas";-;-;-;-;-;1;-;-;1;1;-;-;-;3
"250490 Cruz do Espírito Santo";-;-;-;-;-;5;1;-;1;-;-;-;-;7
"250500 Cubati";-;-;-;-;-;2;1;-;-;-;-;1;-;4
"250510 Cuité";-;-;-;-;2;-;-;2;-;-;-;-;-;4
"250523 Cuité de Mamanguape";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"250520 Cuitegi";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"250527 Curral de Cima";-;-;-;-;-;-;2;1;-;-;-;-;-;3
"250530 Curral Velho";-;-;-;-;1;-;2;-;-;-;-;-;-;3
"250535 Damião";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"250540 Desterro";-;-;-;-;-;2;-;-;3;-;-;-;-;5
"250560 Diamante";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"250570 Dona Inês";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250600 Esperança";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"250610 Fagundes";-;-;-;-;-;2;1;-;-;-;-;-;-;3
"250620 Frei Martinho";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"250625 Gado Bravo";-;-;-;-;-;-;1;2;1;-;-;-;-;4
"250630 Guarabira";-;-;-;-;-;3;-;-;1;2;-;-;-;6
"250650 Gurjão";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"250660 Ibiara";-;-;-;-;1;-;-;-;-;-;1;-;-;2
"250260 Igaracy";-;-;-;-;-;1;-;1;1;-;-;-;-;3
"250670 Imaculada";-;-;-;-;-;-;-;1;1;1;-;-;-;3
"250680 Ingá";-;-;-;-;1;2;-;-;1;1;-;-;-;5
"250690 Itabaiana";-;-;-;-;1;-;-;-;1;-;1;-;-;3
"250700 Itaporanga";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"250710 Itapororoca";-;-;-;-;-;-;1;1;-;1;-;-;-;3
"250730 Jacaraú";-;-;-;-;-;1;1;-;1;-;-;-;-;3
"250740 Jericó";-;-;-;-;-;2;1;-;2;-;1;-;-;6
"250750 João Pessoa";-;-;1;2;2;20;11;11;13;9;7;4;1;81
"251365 Joca Claudino";-;-;-;-;-;-;1;1;-;1;-;-;-;3
"250760 Juarez Távora";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"250770 Juazeirinho";-;-;-;1;-;1;2;2;1;-;-;-;-;7
"250780 Junco do Seridó";-;-;-;-;-;1;1;-;-;1;-;-;-;3
"250790 Juripiranga";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"250800 Juru";-;-;-;-;-;1;-;1;-;-;1;-;-;3
"250820 Lagoa de Dentro";-;-;-;-;1;-;-;-;1;1;-;-;-;3
"250830 Lagoa Seca";-;-;-;2;-;2;1;-;-;1;-;1;-;7
"250850 Livramento";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"250880 Malta";-;-;-;-;1;2;-;-;-;-;-;-;-;3
"250890 Mamanguape";-;-;-;-;2;2;-;3;4;-;1;-;1;13
"250900 Manaíra";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250910 Mari";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"250915 Marizópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"250920 Massaranduba";-;-;-;-;-;-;-;1;1;-;-;1;-;3
"250930 Mataraca";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"250933 Matinhas";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"250939 Maturéia";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"250940 Mogeiro";-;-;-;-;-;-;-;3;-;-;-;-;-;3
"250950 Montadas";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"250960 Monte Horebe";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"250970 Monteiro";-;-;-;-;1;3;1;1;1;1;-;-;-;8
"250980 Mulungu";-;-;-;-;1;-;1;1;-;-;-;1;-;4
"250990 Natuba";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"251000 Nazarezinho";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"251010 Nova Floresta";-;-;-;-;-;-;2;1;1;1;-;-;-;5
"251020 Nova Olinda";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"251030 Nova Palmeira";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"251040 Olho d'Água";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"251050 Olivedos";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"251060 Ouro Velho";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"251065 Parari";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"251080 Patos";-;1;-;-;-;3;2;2;3;-;-;-;-;11
"251090 Paulista";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"251100 Pedra Branca";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"251120 Pedras de Fogo";-;-;-;-;1;-;-;-;1;1;-;-;-;3
"251272 Pedro Régis";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"251130 Piancó";-;-;-;-;-;2;4;-;-;-;-;-;-;6
"251140 Picuí";-;-;-;-;-;1;1;3;2;-;-;-;-;7
"251150 Pilar";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"251170 Pilõezinhos";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"251180 Pirpirituba";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"251190 Pitimbu";-;-;-;-;-;1;-;-;-;1;1;-;-;3
"251200 Pocinhos";-;-;-;-;-;1;-;1;2;-;-;-;-;4
"251203 Poço Dantas";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"251210 Pombal";-;-;-;-;-;2;2;3;-;2;-;-;-;9
"251230 Princesa Isabel";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"251240 Puxinanã";-;-;-;-;2;-;1;1;-;-;-;1;-;5
"251250 Queimadas";-;-;-;-;-;1;1;4;1;1;-;-;-;8
"251270 Remígio";-;-;1;-;1;1;-;-;-;-;-;-;-;3
"251274 Riachão";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"251275 Riachão do Bacamarte";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"251276 Riachão do Poço";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"251278 Riacho de Santo Antônio";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"251280 Riacho dos Cavalos";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"251290 Rio Tinto";-;-;-;-;1;-;2;2;-;-;-;-;-;5
"251310 Salgado de São Félix";-;-;-;-;1;-;1;2;-;-;-;-;-;4
"251315 Santa Cecília";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"251320 Santa Cruz";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"251330 Santa Helena";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"251340 Santa Luzia";-;-;-;-;-;1;1;2;-;1;-;-;-;5
"251370 Santa Rita";-;-;-;-;1;10;5;3;6;1;1;-;-;27
"251350 Santana de Mangueira";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"251385 Santo André";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"251392 São Bentinho";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"251390 São Bento";-;-;1;-;1;-;1;-;1;-;1;-;-;5
"251398 São Francisco";-;-;-;-;1;2;-;-;-;-;-;-;-;3
"251400 São João do Cariri";-;-;-;-;-;1;2;1;-;-;-;-;-;4
"250070 São João do Rio do Peixe";-;-;-;-;-;1;1;-;2;1;-;-;-;5
"251420 São José da Lagoa Tapada";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"251430 São José de Caiana";-;-;-;-;-;-;2;-;1;-;-;-;-;3
"251455 São José de Princesa";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"251445 São José dos Ramos";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"251490 São Mamede";-;-;-;-;1;-;1;1;-;-;-;-;-;3
"251500 São Miguel de Taipu";-;-;-;-;-;-;1;1;1;-;-;-;-;3
"251510 São Sebastião de Lagoa de Roça";-;-;-;-;-;-;2;-;-;1;-;1;-;4
"251520 São Sebastião do Umbuzeiro";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"251540 São Vicente do Seridó";-;-;-;-;-;-;-;1;-;-;-;1;-;2
"251530 Sapé";-;-;1;-;1;3;4;1;2;-;-;-;-;12
"251550 Serra Branca";-;-;-;-;1;1;2;1;-;-;2;-;-;7
"251580 Serra Redonda";-;-;-;-;-;-;1;1;1;1;-;-;-;4
"251590 Serraria";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"251593 Sertãozinho";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"251597 Sobrado";-;-;-;-;-;2;3;1;-;-;-;1;-;7
"251600 Solânea";-;-;-;-;2;2;3;1;2;-;1;-;-;11
"251610 Soledade";-;-;-;-;-;2;-;1;-;-;1;-;-;4
"251615 Sossêgo";-;-;-;-;-;2;-;-;-;1;1;-;-;4
"251620 Sousa";-;-;-;-;-;1;10;2;9;1;-;-;-;23
"251630 Sumé";-;-;-;-;1;-;1;2;-;1;-;-;-;5
"251650 Taperoá";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"251670 Teixeira";-;1;-;-;1;2;1;-;-;-;-;-;-;5
"251675 Tenório";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"251690 Uiraúna";-;-;-;-;-;-;2;2;-;-;-;-;-;4
"251700 Umbuzeiro";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"251710 Várzea";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"251720 Vieirópolis";-;-;-;-;-;-;2;1;1;-;-;-;-;4
"250550 Vista Serrana";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"251740 Zabelê";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"250000 Município ignorado - PB";-;-;-;-;1;-;1;2;1;1;-;-;1;7
"260005 Abreu e Lima";-;-;-;-;-;3;1;3;1;3;3;2;-;16
"260010 Afogados da Ingazeira";-;-;-;-;1;4;1;-;1;-;-;-;-;7
"260020 Afrânio";-;-;-;-;-;3;3;-;1;1;-;-;-;8
"260030 Agrestina";-;1;-;-;1;-;1;1;2;-;-;-;-;6
"260040 Água Preta";-;-;-;-;-;1;1;1;-;1;-;-;-;4
"260050 Águas Belas";-;-;-;-;-;4;1;1;-;-;1;-;-;7
"260060 Alagoinha";-;-;-;-;-;1;-;1;1;-;1;-;-;4
"260070 Aliança";-;-;-;-;-;2;3;1;1;-;-;-;-;7
"260080 Altinho";-;-;-;-;-;1;-;-;1;-;1;-;-;3
"260090 Amaraji";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"260100 Angelim";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"260105 Araçoiaba";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"260110 Araripina";-;-;-;-;3;5;1;6;1;2;1;1;-;20
"260120 Arcoverde";-;-;-;-;1;5;2;4;2;-;1;-;-;15
"260130 Barra de Guabiraba";-;-;-;-;-;-;1;2;-;-;-;-;-;3
"260140 Barreiros";-;-;-;-;1;-;1;1;-;1;1;-;-;5
"260150 Belém de Maria";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"260160 Belém do São Francisco";-;-;-;-;-;1;-;-;-;-;-;1;-;2
